category,sku,sex,item name,about,details,sizes,"price, $",colour,image_name,,,,
footwear,LV23095,,LV Trainer sneakers ,The Monogram denim LV Trainer sneakers are a colorful take on vintage basketball shoes. ,Denim,,97,red,LV Trainer 1ABLXJ1                  LV Trainer 1ABLXJ2                  LV Trainer 1ABLXJ3                  LV Trainer 1ABLXJ4,,,,
footwear,LV23096,,LV Trainer sneakers ,A summery take on the LV Trainer,Textile,,98,beige,LV Trainer 1ABG0H1                  LV Trainer 1ABG0H2                  LV Trainer 1ABG0H3                  LV Trainer 1ABG0H4,,,,
footwear,LV23097,,LV Trainer sneakers ,A summery take on the LV Trainer,Textile,,99,blue,LV Trainer 1ABG1L1                  LV Trainer 1ABG1L2                  LV Trainer 1ABG1L3                  LV Trainer 1ABG1L4,,,,
footwear,LV23098,,LV x YK sneakersLV Trainer,The LV Trainer LV x YK sneakers ,Calfskin,,100,"
blue",LV x YK Trainer 1ABD1G1         LV x YK Trainer 1ABD1G2         LV x YK Trainer 1ABD1G3         LV x YK Trainer 1ABD1G4,,,,
footwear,LV23099,,LV Runner Tatic,First seen at the Spring/Summer 2022 show,Combination of materials,,101,Black,LV Runner Tatic 1ABFQO1        LV Runner Tatic 1ABFQO2        LV Runner Tatic 1ABFQO3        LV Runner Tatic 1ABFQO4,,,,
footwear,LV23100,,LV Runner Tatic,Inspired by running shoes,Mix of materials,,102,Grey,LV Runner Tatic 1ABLZ71        LV Runner Tatic 1ABLZ72        LV Runner Tatic 1ABLZ73        LV Runner Tatic 1ABLZ74,,,,
footwear,LV23101,,LV Trainer,Louis Vuitton introduces the iconic LV Trainer in a new sustainable version,Combination of sustainable materials,,103,Grey,LV Trainer 1AAGXF1                LV Trainer 1AAGXF2               LV Trainer 1AAGXF3               LV Trainer 1AAGXF4,,,,
footwear,LV23102,,LV Trainer LV x YK,The LV Trainer LV x YK sneakers from the Louis Vuitton x Yayoi ,"Grained Calfskin
print",,104,Black,LV x YK LV Trainer trainers 1ABD2W1                                LV x YK LV Trainer trainers 1ABD2W2                                LV x YK LV Trainer trainers 1ABD2W3                                LV x YK LV Trainer trainers 1ABD2W4,,,,
footwear,LV23103,,LV Trainer,Louis Vuitton Creative Director ,Monogram Canvas,,105,"
black",LV Trainer 1A8PU71                  LV Trainer 1A8PU72                  LV Trainer 1A8PU73                  LV Trainer 1A8PU74,,,,
footwear,LV23104,,LV Trainer LV x YK,The Louis Vuitton x Yayoi Kusama collection features an exclusive version of the LV Trainer,Calfskin,,106,Red,LV x YK LV Trainer trainers 1AB8J1                                      LV x YK LV Trainer trainers 1AB8J2                                                                             LV x YK LV Trainer trainers 1AB8J3                                                                                                               LV x YK LV Trainer trainers 1AB8J4,,,,
footwear,LV23105,,LV Trainer,The new version of the LV Trainer combines,Calfskin,,107,Orange,LV Trainer 1ABOIL1                LV Trainer 1ABOIL2                LV Trainer 1ABOIL3                LV Trainer 1ABOIL4,,,,
footwear,LV23106,,LV Trainer,The new version of the LV Trainer combines,Calfskin,,108,Black,LV Trainer 1ABOGD1                LV Trainer 1ABOGD2                LV Trainer 1ABOGD3                LV Trainer 1ABOGD4,,,,
footwear,LV23107,,LV Skate,The 90s-inspired LV Skate sneaker ,Combination of materials,,109,beige,LV Skate 1AARQG1                      LV Skate 1AARQG2                      LV Skate 1AARQG3                      LV Skate 1AARQG4,,,,
footwear,LV23108,,LV Skate,The 90s-inspired LV Skate sneaker ,Combination of materials,,110,Dark blue,LV Skate 1AARRK1                      LV Skate 1AARRK2                      LV Skate 1AARRK3                      LV Skate 1AARRK4,,,,
footwear,LV23109,,LV Trainer ,The new version of the LV Trainer ,Calfskin,,111,Yellow,LV Trainer 1ABOI11                LV Trainer 1ABOI12                LV Trainer 1ABOI13                LV Trainer 1ABOI14,,,,
footwear,LV23110,,LV Trainer ,The new version of the LV Trainer ,Calfskin,,112,Green,LV Trainer 1ABOJJ1                LV Trainer 1ABOJJ2                LV Trainer 1ABOJJ3,,,,
footwear,LV23111,,LV Trainer LV x YK,Introduced in the Louis Vuitton x Yayoi Kusama collection,Grained Calfskin,,113,White,LV x YK LV Trainer trainers 1ABD3G1                                      LV x YK LV Trainer trainers 1ABD3G2                                      LV x YK LV Trainer trainers 1ABD3G3                                      LV x YK LV Trainer trainers 1ABD3G4,,,,
footwear,LV23112,,LV Trainer ,First seen at the Louis Vuitton ,Suede Calfskin,,114,Dark brown,LV Trainer 1A5UR31                LV Trainer 1A5UR32                LV Trainer 1A5UR33,,,,
bags & accessories,LV23113,, Keepall Bandoulière 50,"The Keepall Bandoulière 50 
",Monogram Eclipse coated canvas ,,115,grey,Keepall 50 1 M45392 Keepall 50 2 M45392 Keepall 50 3 M45392 Keepall 50 4 M45392,,,,
bags & accessories,LV23114,,Keepall Bandoulière 60,An icon since the appearance in 1930,Golden brass pieces,,116,brown,Keepall 60 1 M41412 Keepall 60 2 M41412 Keepall 60 3 M41412 Keepall 60 4 M41412,,,,
bags & accessories,LV23115,,Keepall Bandoulière 55,The beloved Keepall 55,Coated Canvas,,117,black,Keepall 55 1 M40605 Keepall 55 2 M40605 Keepall 55 3 M40605 Keepall 55 4 M40605,,,,
bags & accessories,LV23116,,LV x YK Bandoulière Keepall 55,The LVxYK Keepall 55,Monogram Eclipse coated ,,118,grey,Keepall 55 1 M46401  Keepall 55 2 M46401  Keepall 55 3 M46401  Keepall 55 4 M46401,,,,
bags & accessories,LV23117,,Keepall Bandoulière 55,"With side bands in 
","Radiant Sun
Monogram 

",,119,brown,Keepall 55 1 M46702 Keepall 55 2 M46702,,,,
bags & accessories,LV23118,,Keepall Bandoulière 35,A smaller version of the House’s ,"Embossed Taurillon Monogram 

",,120,black,Keepall 35 1 M22765 Keepall 35 2 M22765 Keepall 35 3 M22765,,,,
bags & accessories,LV23119,,Keepall Bandouliere 50,Inspired by the original design of the padded travel bag,Exceptionally soft Taiga leather,,121,black,Bandouliere 50 M334001 Bandouliere 50 M334002 Bandouliere 50 M334003 Bandouliere 50 M334004,,,,
bags & accessories,LV23120,,Keepall 50 Shoulder Bag,"The iconic Keepall travel bag, which has graced Louis Vuitton ","Embossed Monogram Shadow leather
Cowhide leather trim",,122,black,50 Shoulder M448101                  50 Shoulder M448102                  50 Shoulder M448103                  50 Shoulder M448104,,,,
bags & accessories,LV23121,,Keepall 45 with shoulder strap,The iconic Keepall 45 with shoulder strap is crafted from new Monogram,Genuine cowhide leather trim,,123,black,with shoulder M405691                  with shoulder M405692                  with shoulder M405693                  with shoulder M405694,,,,
bags & accessories,LV23122,,Keepall 50 Shoulder Bag,The iconic Keepall is re-imagined in ultra-thin LV ,"cowhide leather",,124,black,Keepall 50 M214201                  Keepall 50 M214202                  Keepall 50 M214203                  Keepall 50 M214204,,,,
bags & accessories,LV23123,,Keepall 45 with shoulder strap,Always travel with ease and style.,Genuine cowhide leather trim,,125,Monogram Canvas,Keepall 45 M414181                  Keepall 45 M414182                  Keepall 45 M414183                  Keepall 45 M414184,,,,
bags & accessories,LV23124,,Keepall 55 with shoulder strap,Roomy and multifunctional,Genuine cowhide leather trim,,126,Anwa Monogram,Keepall 55 M567141                  Keepall 55 M567142                  Keepall 55 M567143                  Keepall 55 M567144,,,,
bags & accessories,LV23125,,Keepall 50 with shoulder strap,"Introduced in 1930, the iconic Keepall epitomizes the spirit of modern travel. ",Genuine cowhide leather trim,,127,Anwa Monogram,Keepall 50 M414161                  Keepall 50 M414162                  Keepall 50 M414163                  Keepall 50 M414164,,,,
bags & accessories,LV23126,,Keepall 55 with shoulder strap,"Introduced in 1930, the iconic Keepall epitomizes the spirit of modern travel. ",Genuine cowhide leather trim,,128,Canvas,Keepall 50 N414141                  Keepall 50 N414142                  Keepall 50 N414143,,,,
bags & accessories,LV23127,,Keepall 55 with shoulder strap,This urban duffel bag in Damier Graphite canvas reinterprets a classic design.,Genuine cowhide leather trim,,129,Canvas,Keepall 55 N414131                  Keepall 55 N414132                  Keepall 55 N414133                  Keepall 55 N414134,,,,
bags & accessories,LV23128,,Keepall 45 with shoulder strap,An elegant travel bag in Damier Graphite canvas.,Genuine cowhide leather trim,,130,Canvas,Keepall 45 N414181                  Keepall 45 N414182                  Keepall 45 N414183                  Keepall 45 N414184,,,,
bags & accessories,LV23129,,Keepall 50 with shoulder strap,Keepall 50 Shoulder Bag,Cotton textile lining,,131,Canvas,Keepall 50 M453921                  Keepall 50 M453922                  Keepall 50 M453923                  Keepall 50 M453924,,,,
bags & accessories,LV23130,,Keepall 25 with shoulder strap,The Keepall 25 in black Taurillon leather with ,Cowhide Taurillon Leather,,132,Black color,Keepall 25 M209001                  Keepall 25 M209002                  Keepall 25 M209003                  Keepall 25 M209004,,,,
bags & accessories,LV23131,,Keepall 50 with shoulder strap,The new shoulder strap version of the Keepall 50 ,Taurillon leather,,133,Black color,Keepall 50 M590251                  Keepall 50 M590252                  Keepall 50 M590253                  Keepall 50 M590254,,,,
bags & accessories,LV23132,,Keepall 25 with shoulder strap,The new version of the Keepall 25 ,Cowhide leather trim,,134,Monogram Eclipse,Keepall 25 M462711                  Keepall 25 M462712                  Keepall 25 M462713                  Keepall 25 M462714,,,,
bags & accessories,LV23133,,Keepall 50 with shoulder strap,The Keepall 50 bag with shoulder strap comes in an innovative combination. ,Waxed canvas ,,135,Pale blue color,Keepall 50 M225701                  Keepall 50 M225702                  Keepall 50 M225703                  Keepall 50 M225704,,,,
bags & accessories,LV23134,,Keepall 25 with shoulder strap,The Keepall 25 in Monogram Aquagarden,Waxed canvas ,,136,Pale blue color,Keepall 25 M225271                 Keepall 25 M225272                 Keepall 25 M225273                 Keepall 25 M225274,,,,
bags & accessories,LV23135,,Keepall 50 with shoulder strap,The classic Keepall 50 ,Cowhide leather trim,,137,Monogram Washed ,Keepall 50 M225321                 Keepall 50 M225322                 Keepall 50 M225323                 Keepall 50 M225324,,,,
bags & accessories,LV23136,,Keepall 25 with shoulder strap,The new Keepall 25,Cowhide leather trim,,138,Monogram Washed ,Keepall 25 M227621               Keepall 25 M227622               Keepall 25 M227623               Keepall 25 M227624,,,,
bags & accessories,LV23137,,Keepall 25 with shoulder strap,The compact Keepall 25,Waxed canvas Monogram,,139,Orange color,Keepall 25 M466871               Keepall 25 M466872               Keepall 25 M466873               Keepall 25 M466874,,,,
bags & accessories,LV23138,,Keepall 45 with shoulder strap,The iconic Keepall 45,Waxed canvas Monogram ,,140,Orange-beige color,Keepall 45 M467031               Keepall 45 M467032               Keepall 45 M467033               Keepall 45 M467034,,,,
bags & accessories,LV23139,,Keepall 55 with shoulder strap,The House's classic short-haul travel accessory,Waxed canvas Monogram ,,141,Orange color,Keepall 55 M467021          Keepall 55 M467022,,,,
bags & accessories,LV23140,,Keepall 55 with shoulder strap,"Introduced in 1930, the iconic Keepall epitomizes the spirit of modern travel. ",Genuine cowhide leather trim,,142,Canvas,Keepall 55 M414141          Keepall 55 M414142          Keepall 55 M414143          Keepall 55 M414144,,,,
bags & accessories,LV23141,,Mini Soft Trunk,Designed by Virgil Abloh for the Spring/Summer 2019 collection,Cowhide leather trim,,143,black,Soft Trunk M447351                  Soft Trunk M447352                  Soft Trunk M447353                  Soft Trunk M447354,,,,
bags & accessories,LV23142,,Handle Soft Trunk,The Handle Soft Trunk messenger bag is crafted from iconic ,Cowhide leather trim,,144,black,Handle M459351                  Handle M459352                  Handle M459353                  Handle M459354,,,,
bags & accessories,LV23143,,Handle Soft Trunk Bag,Crafted from taurillon leather and embossed with Monogram,Cowhide leather trim,,145,black,Trunk Bag M591631                  Trunk Bag M591632                  Trunk Bag M591633                  Trunk Bag M591634,,,,
bags & accessories,LV23146,,Trunk messenger bag,The compact Trunk messenger bag is crafted from Taurillon,Cowhide leather trim,,146,black,Trunk messenger M577261                  Trunk messenger M577262                  Trunk messenger M577263                  Trunk messenger M577264,,,,
bags & accessories,LV23147,,Handle Soft Trunk Bag,A compact Handle Soft Trunk bag in luxe crocodile leather embodies Virgil Abloh's timeless design,"
Crocodile skin",,147,black,Handle Soft N802421                  Handle Soft N802422                  Handle Soft N802423                  Handle Soft N802424,,,,
bags & accessories,LV23148,,Backpack Christopher MM,The Christopher MM backpack in Monogram Macassar ,Cowhide leather trim,,148,Orange-beige ,MM M466861                                MM M466862                                MM M466863                                MM M466864,,,,
bags & accessories,LV23149,,Backpack Christopher PM,The dynamic design of the Cristopher backpack was inspired by the romance of backpacking.,Cowhide leather trim,,149,Damier Graphite,PM N413791                                PM N413792                                PM N413793                                PM N413794,,,,
bags & accessories,LV23150,,Backpack Christopher MM,The Christopher MM backpack is a practical accessory with numerous pockets,Cowhide leather trim,,150,black,MM M556991                                MM M556992                                MM M556993                                MM M556994,,,,
bags & accessories,LV23151,,Christopher Wearable Wallet,The functional Christopher wallet is the perfect accessory for the modern man.,Cowhide leather trim,,151,Canvas,Wearable Wallet M694041                  Wearable Wallet M694042                  Wearable Wallet M694043                  Wearable Wallet M694044,,,,
bags & accessories,LV23153,,Backpack Discovery MM,The iconic Discovery backpack is now available in a new MM version.,Cowhide leather trim,,152,black,MM M225451                                MM M225452                                MM M225453                                MM M225454,,,,
bags & accessories,LV23154,,Backpack Discovery PM,The iconic Discovery backpack is now available in a new MM version. ,Cowhide leather trim,,153,black,PM M225581                                PM M225582                                PM M225583                                PM M225584,,,,
bags & accessories,LV23155,,Backpack Discovery PM,"The combination of Monogram Macassar canvas, black cowhide",Cowhide leather trim,,154,Canvas,PM M466841                                PM M466842                                PM M466843,,,,
bags & accessories,LV23156,,Sling Noe Maxi,The Noe Maxi bag in Monogram Eclipse canvas is a fusion of modern style and function. ,Cowhide leather trim,,155,black,Noe Maxi M466931                 Noe Maxi M466932                 Noe Maxi M466933                 Noe Maxi M466934,,,,
bags & accessories,LV23157,,Backpack Steamer,"In soft Monogram Eclipse canvas, the Steamer Backpack is inspired by Louis Vuitton's",Cowhide leather trim,,156,black,Steamer M440521                 Steamer M440522                 Steamer M440523                 Steamer M440524,,,,
bags & accessories,LV23158,,Trio Messenger,The men's Trio Messenger is crafted from Monogram Eclipse and Monogram Eclipse Reverse canvas,Cowhide leather trim,,157,black,Messenger M694431                 Messenger M694432                 Messenger M694433                 Messenger M694434,,,,
bags & accessories,LV23159,,Discovery PM Belt Bag,The Discovery fanny pack in Monogram Eclipse canvas is the perfect combination of modern,Cowhide leather trim,,158,black,Belt Bag M460351                  Belt Bag M460352                  Belt Bag M460353                  Belt Bag M460354,,,,
bags & accessories,LV23160,,Messenger S-Lock,A sophisticated interpretation of Monogram Macassar canvas,VVN cowhide leather trim,,159,orange,S-Lock M466881                  S-Lock M466882                  S-Lock M466883                  S-Lock M466884,,,,
bags & accessories,LV23161,,Mini Soft Trunk Bag,Designed by Virgil Abloh for the Spring/Summer 2019 collection,Cowhide leather trim,,160,black,Mini Soft M447351                  Mini Soft M447352                  Mini Soft M447353                  Mini Soft M447354,,,,
bags & accessories,LV23162,,District PM bag,A new version of the District messenger in PM is crafted in Monogram Eclipse canvas,Cowhide leather trim,,161,black,PM bag M462551                  PM bag M462552                  PM bag M462553                  PM bag M462554,,,,
bags & accessories,LV23163,,Messenger District PM,The PM District messenger bag is crafted from Damier Infini cowhide leather,Cowhide leather trim,,162,black,District PM N427111                  District PM N427112                  District PM N427113                  District PM N427114,,,,
bags & accessories,LV23164,,"Speedy 20 Shoulder Bag
",The Speedy 20 bag is a compact version of the legendary Speedy 20 bag. ,,,163,,,,,,
bags & accessories,LV23165,,Backpack Discovery,The Taigarama Discovery Backpack is crafted from authentic Taiga ,Cowhide leather trim,,164,white,Backpack M309531                  Backpack M309532                  Backpack M309533,,,,
bags & accessories,LV23166,,Voyage PM,The classic monochrome palette of Monogram Eclipse,"Cowhide leather trim",,165,black,Voyage PM M464571                  Voyage PM M464572                  Voyage PM M464573                  Voyage PM M464574,,,,
bags & accessories,LV23167,,Outdoor ,The elegant Spring/Summer 2019 Outdoor messenger ,Cowhide Taiga,,166,black,Outdoor M302331                  Outdoor M302332                  Outdoor M302333,,,,
bags & accessories,LV23168,,Wallet Fastline ,The cowhide Fastline,cowhide leather,,167,Black,Wallet Fastline M820851                  Wallet Fastline M820852                  Wallet Fastline M820853,,,,
bags & accessories,LV23169,,Wallet S-Lock Vertical,The elegant S-Lock Vertical,Taurillon leather,,168,Black,Wallet S-Lock Vertical M815241                  Wallet S-Lock Vertical M815242                  Wallet S-Lock Vertical M815243,,,,
bags & accessories,LV23170,,Voyager PM ,Made from soft Monogram Eclipse canvas,Textile lining,,169,black,Voyager PM M405111                  Voyager PM M405112                  Voyager PM M405113,,,,
bags & accessories,LV23171,,Michael NV2 ,Stylish and functional,Cowhide leather Damier Infini Onyx,,170,black,Michael NV2 N452871                 Michael NV2 N452872                 Michael NV2 N452873                 Michael NV2 N452874,,,,
bags & accessories,LV23172,, Pochette Metis East West,"
Made from Monogram ","Monogram coated canvas

",,171,brown,Pochette Metis East West 1 M46279 Pochette Metis East West 2 M46279 Pochette Metis East West 3 M46279 Pochette Metis East West 4 M46279,,,,
bags & accessories,LV23174,,Neverfull GM ,The Neverfull GM ,"Beige
Monogram ",,172,brown,Neverfull GM 1 M40990 Neverfull GM 2 M40990 Neverfull GM 3 M40990 Neverfull GM 4 M40990,,,,
bags & accessories,LV23175,,Neverfull GM ,"The Neverfull GM tote 
","Cerise Red
Damier 
",,173,brown, Neverfull GM 1 N41357 Neverfull GM 2 N41357 Neverfull GM 3 N41357 Neverfull GM 4 N41357,,,,
bags & accessories,LV23176,,nTheGo PM ,"Both fashionable and functional
",Monogram and Monogram,,174,brown,nTheGo PM 1 M46373 nTheGo PM 2 M46373 nTheGo PM 3 M46373 nTheGo PM 4 M46373,,,,
bags & accessories,LV23177,,Sac Plat BB,"A revamp of the House’s Sac Plat from 
","Monogram coated canvas
Natural ",,175,brown,Sac Plat BB 1 M46265 Sac Plat BB 2 M46265 Sac Plat BB 3 M46265 Sac Plat BB 4 M46265,,,,
bags & accessories,LV23178,,Vendôme MM ,"Evocative of the Louis Vuitton
","Black
Monogram coated 
",,176,brown, Vendôme MM 1 M46508 Vendôme MM 2 M46508 Vendôme MM 3 M46508 Vendôme MM 4 M46508,,,,
bags & accessories,LV23179,,OnTheGo MM,The name says it all: OnTheGo MM takes care,"Monogram and Monogram 
",,177,brown,OnTheGo MM 1 M45321 OnTheGo MM 2 M45321 OnTheGo MM 3 M45321 OnTheGo MM 4 M45321,,,,
bags & accessories,LV23180,,Mini Bumbag ,"The Mini Bumbag in Monogram canvas is 
","Monogram coated canvas
Natural ",,178,brown,Mini Bumbag 1 M82335 Mini Bumbag 2 M82335 Mini Bumbag 3 M82335 Mini Bumbag 4 M82335,,,,
bags & accessories,LV23181,,Petit Sac Plat ,"Crafted from Monogram canvas, the Petit
","Monogram coated canvas
Aged
",,179,brown,Petit Sac Plat 1 M81295 Petit Sac Plat 2 M81295 Petit Sac Plat 3 M81295 Petit Sac Plat 4 M81295,,,,
bags & accessories,LV23182,,Wallet on Chain Ivy,"Inspired by the Sac Recoleta 
","Monogram coated canvas
Aged 
",,180,brown,Wallet on Chain Ivy 1 M81911 Wallet on Chain Ivy 2 M81911 Wallet on Chain Ivy 3 M81911 Wallet on Chain Ivy 4 M81911,,,,
bags & accessories,LV23183,,Mini Boite Chapeau ,"Fashioned from Monogram canvas
","Monogram coated canvas

",,181,brown,Mini Boite Chapeau 1 M44699 Mini Boite Chapeau 2 M44699 Mini Boite Chapeau 3 M44699 Mini Boite Chapeau 4 M44699,,,,
bags & accessories,LV23184,,Loop ,"Created by Nicolas 
","Monogram coated canvas

",,182,brown,Loop 1 M81098 Loop 2 M81098 Loop 3 M81098 Loop 4 M81098,,,,
bags & accessories,LV23185,,Dauphine MM ,"This Louis Vuitton 
",Monogram and Monogram ,,183,brown,Dauphine MM 1 M45958 Dauphine MM 2 M45958 Dauphine MM 3 M45958 Dauphine MM 4 M45958,,,,
bags & accessories,LV23186,,Dauphine Chain Wallet,"Combining Monogram 
",Monogram and Monogram Reverse ,,184,brown,Dauphine Chain Wallet 1 M68746 Dauphine Chain Wallet 2 M68746 Dauphine Chain Wallet 3 M68746 Dauphine Chain Wallet 4 M68746,,,,
bags & accessories,LV23187,,Pochette Metis,The small Pochette Metis clutch is the epitome of elegance. The bag is crafted from soft ,Genuine calfskin trim,,185,canvas,MetisM448751                                MetisM448752                                MetisM448753                                MetisM448754,,,,
bags & accessories,LV23188,,Bag Neverfull MM,The Neverfull MM tote combines classic design with iconic Louis Vuitton elements.,Cowhide leather trim,,186,red,MMM411771                                MMM411772                                MMM411773                                MMM411774,,,,
bags & accessories,LV23189,,Accessory Multi Pochette,"
The unique Multi Pochette accessory is an original cross-body ",VVN cowhide leather trim,,187,pink,PochetteM448401                                PochetteM448402                                PochetteM448403                                PochetteM448404,,,,
bags & accessories,LV23190,,Clutch Pochette Metis,The stylish Pochette Metis clutch gets an ultra-fashion touch with the iconic Monogram,Smooth calfskin trim,,188,canvas,MetisM448761                                MetisM448762                                MetisM448763                                MetisM448764,,,,
bags & accessories,LV23191,,Speedy Bandoulière 25,The Speedy Bandoulière 25 in graphic Damier Ebène canvas is an ideal city bag for every day,Smooth cowhide leather trim,,189,canvas,SpeedyN413681                                SpeedyN413682                                SpeedyN413683                                SpeedyN413684,,,,
bags & accessories,LV23192,,Alma BB,"The Alma BB handbag traces its pedigree to an Art Deco original, introduced in 1934",Smooth cowhide leather trim,,190,canvas,BBM531521                                BBM531522                                BBM531523                                BBM531524,,,,
bags & accessories,LV23193,,Passy Bag,The compact Passy Bag in Monogram canvas with a sliding chain is the quintessence of casual chic.,Smooth cowhide leather trim,,191,brown,PassyM455921                                PassyM455922                                PassyM455923                                PassyM455924,,,,
bags & accessories,LV23194,,Tilsitt,The Tilsitt handbag in Monogram and Monogram Reverse canvas is an ideal city bag,Cowhide-leather trim,,192,canvas,TilsittM465481                                TilsittM465482                                TilsittM465483                                TilsittM465484,,,,
bags & accessories,LV23195,,NéoNoé MM,"A true House icon, the NéoNoé bucket bag revisits a 1932 design by Gaston-Louis Vuitton",Smooth cowhide-leather trim,,193,brown,MMM448871                                MMM448872                                MMM448873                                MMM448874,,,,
bags & accessories,LV23196,,Cluny Mini,The adorable Cluny Mini handbag in iconic Monogram canvas is designed to delight LV lovers,Cowhide-leather trim,,194,brown,MiniM460551                                MiniM460552                                MiniM460553                                MiniM460554,,,,
bags & accessories,LV23197,,Pochette Félicie,Louis Vuitton's emblematic Epi leather complements the simple yet elegant design of the Pochette Félicie,Cowhide leather trim,,195,black,FélicieM818761                                FélicieM818762                                FélicieM818763                                ,,,,
bags & accessories,LV23198,,Pochette Métis East West,"Crafted from Monogram Empreinte leather, with its embossed Monogram pattern",Cowhide-leather trim,,196,creme,PochetteM230811                                PochetteM230812                                PochetteM230813                                PochetteM230814,,,,
bags & accessories,LV23199,,Diane,There’s a vintage 90s feel to this Diane satchel bag made from two-tone embossed Monogram Empreinte leather.,Cowhide-leather trim,,197,creme,DianeM465831                                DianeM465832                                DianeM465833                                DianeM465834,,,,
bags & accessories,LV23200,,Twist MM,"The Twist MM handbag is made from Epi leather, with its distinctive embossing",Smooth cowhide-leather trim,,198,Honey Gold,MMM222291                                MMM222292                                MMM222293                                MMM222294,,,,
bags & accessories,LV23201,,Twist MM,"The Twist MM handbag is made from Epi leather, with its distinctive embossing",Smooth cowhide-leather trim,,199,quartz,MMM222361                                MMM222362                                MMM222363                                MMM222364,,,,
bags & accessories,LV23202,,Cluny BB,A textile strap lends a lively twist to this Cluny BB handbag,Natural cowhide-leather trim,,200,canvas,BBM463721                                BBM463722                                BBM463723                                BBM463724,,,,
bags & accessories,LV23203,,New Wave Chain Bag GM,The quilted Chain Bag New Wave now comes in glamourous XL proportions,Smooth calf-leather trim,,201,black,GMM216151                                GMM216152                                GMM216153                                GMM216154,,,,
bags & accessories,LV23204,,Madeleine BB Bag,Made from Monogram Empreinte leather with an oversized,Grained cowhide trim,,202,black,BBM459771                                BBM459772                                BBM459773                                BBM459774,,,,
bags & accessories,LV23205,,Twist MM,This summery version of the Twist MM handbag features a wide embroidered textile strap,Cowhide-leather lining,,203,black,MMM220361                                MMM220362                                MMM220363                                MMM220364,,,,
bags & accessories,LV23206,,Loop Hobo Bag,"A supple and roomy bag, the Loop Hobo bag is made from a mix of Monogram and Monogram Reverse ",Cowhide leather trim,,204,canvas,HoboM463111                                HoboM463112                                HoboM463113                                HoboM463114,,,,
bags & accessories,LV23207,,Petit Sac Plat Bag,"The Petit Sac Plat bag is a miniature replica of the Sac Plat, one of Louis Vuitton's iconic bags",Monogram Empreinte embossed supple grained cowhide leather,,205,BLACK,PetitM814171                                PetitM814172                                PetitM814173                                PetitM814174,,,,
bags & accessories,LV23208,,Marceau Bag,"The elegant Marceau chain bag, with its emblematic S-lock and gold-colour chain",Embossed grained cowhide leather,,206,black,MarceauM462001                                MarceauM462002                                MarceauM462003                                MarceauM462004,,,,
bags & accessories,LV23209,,Vanity Case PM,The iconic Petite Malle inspired the Vanity Case baguette in Monogram canvas,Cowhide leather and metal trim,,207,canvas,PMM467581                                PMM467582                                PMM467583                                ,,,,
bags & accessories,LV23210,,Petite Malle Souple,The expressive Petite Malle Souple is a reflection of the Maison's rich heritage,Cowhide leather trim,,208,canvas,SoupleM455711                                SoupleM455712                                SoupleM455713                                SoupleM455714,,,,
bags & accessories,LV23211,,Neo Alma PM,Louis Vuitton's Neo Alma bag in size PM is an example of exquisite craftsmanship,Embossed Cowhide Monogram Empreinte,,209,black,PMM448321                                PMM448322                                PMM448323                                PMM448324,,,,
bags & accessories,LV23212,,Palm Springs Mini,A functional Monogram canvas Palm Spring Mini backpack,Soft cowhide leather trim,,210,canvas,MiniM448731                                MiniM448732                                MiniM448733                                MiniM448734,,,,
bags & accessories,LV23213,,Tambourin,For the Fall/Winter 2019 collection,Cowhide leather trim,,211,canvas,TambourinM448601                                TambourinM448602                                TambourinM448603                                TambourinM448604,,,,
bags & accessories,LV23215,,Noe BB,"The Noe shoulder bag is based on an archival model from 1932, originally designed to carry champagne",Cowhide leather trim,,212,canvas,BBM408171                                BBM408172                                BBM408173                                BBM408174,,,,
shirt,LV23218,man,Shirt Baseball,A baseball-style shirt is a great choice for sports fans.,"73% polyester, 22% cotton, 4%", s|m|l|xl,213,Black,Shirt Baseball 1AB5KX1                  Shirt Baseball 1AB5KX2                  Shirt Baseball 1AB5KX3                  Shirt Baseball 1AB5KX4,,,,
shirt,LV23219,man,Overshort in cotton with Monogram pattern,The cotton overshort features a flocked Monogram pattern with a velvety effect. ,"98% cotton, 2% elastane",s|m|l|xl,214,Khaki,Overshort Monogram 1ABNP81                  Overshort Monogram 1ABNP82                  Overshort Monogram 1ABNP83                  Overshort Monogram 1ABNP84,,,,
shirt,LV23220,man,Regular fit shirt with graphics,The classic shirt of the Spring-Summer 2023 season appears in a sophisticated blue-gray,100% cotton,s|m|l|xl,215,Grey-blue,fit shirt 1AB5L71                              fit shirt 1AB5L72                              fit shirt 1AB5L73                              fit shirt 1AB5L74,,,,
shirt,LV23221,man,Short Sleeve Monogram Rainbow Denim Shirt,This short-sleeved denim shirt features Monogram Rainbow jacquard in a pastel color scheme.,100% cotton,s|m|l|xl,216,Indigo,Rainbow Denim 1AB91X1                  Rainbow Denim 1AB91X2                  Rainbow Denim 1AB91X3                  Rainbow Denim 1AB91X4,,,,
shirt,LV23222,man,Regular Fit Signature Long Sleeve Shirt,This eye-catching long-sleeved cotton shirt is decorated with a seasonal silk-screened print. ,100% cotton,s|m|l|xl,217,Indigo,Long Sleeve 1AATK91                  Long Sleeve 1AATK92                  Long Sleeve 1AATK93                  Long Sleeve 1AATK94,,,,
